,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
118,118,1750559158646922,-52,128,3C:6A:D2:84:AD:40,0,49744,2ae0,0,43455c0,-51.333333333333336
119,119,1750559158749347,-52,128,3C:6A:D2:84:AD:40,0,49760,2ae0,0,43455c0,-51.333333333333336
120,120,1750559158851244,-49,128,3C:6A:D2:84:AD:40,0,49776,2ae0,0,43455c0,-51.0
121,121,1750559158954129,-49,128,3C:6A:D2:84:AD:40,0,49792,2ae0,0,43455c0,-50.0
122,122,1750559159056518,-49,128,3C:6A:D2:84:AD:40,0,49808,2ae0,0,43455c0,-49.0
123,123,1750559159158924,-54,128,3C:6A:D2:84:AD:40,0,49824,2ae0,0,43455c0,-50.666666666666664
124,124,1750559159218783,-51,8,3C:6A:D2:84:AD:40,0,59088,2ae0,0,43455c0,-51.333333333333336
125,125,1750559159261338,-53,128,3C:6A:D2:84:AD:40,0,49840,2ae0,0,43455c0,-52.666666666666664
126,126,1750559159328041,-53,8,3C:6A:D2:84:AD:40,0,59104,2ae0,0,43455c0,-52.333333333333336
127,127,1750559159363738,-51,128,3C:6A:D2:84:AD:40,0,49856,2ae0,0,43455c0,-52.333333333333336
128,128,1750559159432293,-49,8,3C:6A:D2:84:AD:40,0,59120,2ae0,0,43455c0,-51.0
129,129,1750559159465056,-51,128,3C:6A:D2:84:AD:40,0,49872,2ae0,0,43455c0,-50.333333333333336
130,130,1750559159568498,-51,128,3C:6A:D2:84:AD:40,0,49888,2ae0,0,43455c0,-50.333333333333336
131,131,1750559159669685,-51,128,3C:6A:D2:84:AD:40,0,49904,2ae0,0,43455c0,-51.0
132,132,1750559159773361,-53,128,3C:6A:D2:84:AD:40,0,49920,2ae0,0,43455c0,-51.666666666666664
133,133,1750559159875728,-52,128,3C:6A:D2:84:AD:40,0,49936,2ae0,0,43455c0,-52.0
134,134,1750559159978194,-52,128,3C:6A:D2:84:AD:40,0,49952,2ae0,0,43455c0,-52.333333333333336
135,135,1750559160080537,-52,128,3C:6A:D2:84:AD:40,0,49968,2ae0,0,43455c0,-52.0
136,136,1750559160181856,-53,128,3C:6A:D2:84:AD:40,0,49984,2ae0,0,43455c0,-52.333333333333336
137,137,1750559160285370,-53,128,3C:6A:D2:84:AD:40,0,50000,2ae0,0,43455c0,-52.666666666666664
138,138,1750559160387733,-51,128,3C:6A:D2:84:AD:40,0,50016,2ae0,0,43455c0,-52.333333333333336
139,139,1750559160490159,-52,128,3C:6A:D2:84:AD:40,0,50032,2ae0,0,43455c0,-52.0
140,140,1750559160592559,-54,128,3C:6A:D2:84:AD:40,0,50048,2ae0,0,43455c0,-52.333333333333336
